publisher_1,publisher_2,publisher_3,registration_1,registration_2,registration_3,registration_4,registration_5,registration_6,registration_7,results_1,results_2,results_3,results_4,results_5,results_6,results_7,results_8,results_9,results_10,results_11,results_12,results_13,results_14,results_15,csrs_1,csrs_2,csrs_3,csrs_4,csrs_5,csrs_6,csrs_7,csrs_8,csrs_9,csrs_10,csrs_11,csrs_12,csrs_13,csrs_14,ipd_1,ipd_2,ipd_3,ipd_4,ipd_5,ipd_6,ipd_7,ipd_8,ipd_9,registration_percentage,registration_percentage_of_total,registration,results_percentage,results_percentage_of_total,results,csrs_percentage,csrs_percentage_of_total,csrs,ipd_percentage,ipd_percentage_of_total,ipd,total,registration_rank,results_rank,csrs_rank,ipd_rank,total_rank
Lundbeck Inc.,$2.3bn,"Cipralex/Lexapro, Onfi, Xenazine",yes,no,no,no,yes,yes,2014 NOS / 2014,"yes / EXTREMELY THIN COMMITMENT: ""Lundbeck registers clinical trial protocol information and discloses results of clinical trials, regardless of outcome, in a publicly accessible clinical trial registry, www.clinicaltrials.gov."" Note they have removed all further details that were previously present in their 2015 policy, which may or may not be significant.  ",no,no,no,no,no,unclear,yes,yes,no,no / ph3 only. ,no,no,unclear,2014 NOS / 2014,YES,YES,"YES / LABORIOUS PROCESS LIKE IPD ""The above described procedure will bein place only as long as no other mandatory procedures have been implemented byhealth authorities, e.g. the EMA POLICY/0070 regarding publication and accessto clinical-trial data.""",,no,no,no,yes,yes,NO,NO,NO,"""products approved in Europe and US after 1 January 2014.""  / 2012","Presumably they mean CSRs when they say ""clinical trial reports"" in their brief document on transparency. However even this commitment is brief and contains caveats that are potentially catch all: ""Lundbeck will share study protocols, anonymized patient data and redacted clinical trial reports from clinical trials with qualified scientific and medical researchers, as necessary for conducting legitimate research."" Furthermore this is also only for ""products approved in Europe and US after 1 January 2014"". If this means a treatment must approved in both of two continents to be shared, then information would be inaccessible if approved and being used in only one continent.",yes,products approved after 2014 / 2012,no,no,unclear,unclear / Very little information given.,no,see site,,43.2,10.8,216,8.5,2.1,42.5,23.2,5.8,116,14.5,3.6,72.5,447,20,30,18,25,26
Almirall,$893mn,"Monodox, Ebastel, Tesavel and Efficib",yes,no,no,no,YES,yes,"2005 (""Almirall started on public registry of clinical trials on 1st July 2005"") / 2005",yes,yes,no,no,no,no,YES,NO,,,,,,,,no,,,,,,,,,,,,,,no,,,,,,,,,57.6,14.4,288,25,6.3,125,0,0,0,0,0,0,413,10,18,31,33,27
Celgene Corporation ,$11bn,"Revlimid, Pomalyst, Abraxane",yes,no,no,no,yes,no,,"UNCLEAR / There are several layers of caveat, including: it's only those trials covered by a legal obligation; only those trials submitted as part of approval package; only lay summaries (which may not be comprehensive descriptions of methods and results): ""Results Posting on Clinical Trial Registry Public WebsitesCelgene posts on public websites the trial progress and results of Celgene- sponsored studies as required by national and regional regulations.Clinical Study Report SynopsesCelgene posts on public websites the redacted Clinical Study Report synopses for studies supporting indications approved in both the United States and European Union on or after January 1, 2014.Lay Summaries to Study ParticipantsWithin a year of the end of the trial, Celgene will provide lay summaries from all Celgene-sponsored studies in patients that were initiated on or after January 1, 2014 to inform and educate patients about their clinical trial participation.""",no,no,no,no,no,no,"UNCLEAR / There are several layers of caveat, including: it's only those trials covered by a legal obligation; only those trials submitted as part of approval package; only lay summaries (which may not be comprehensive descriptions of methods and results): ""Results Posting on Clinical Trial Registry Public WebsitesCelgene posts on public websites the trial progress and results of Celgene- sponsored studies as required by national and regional regulations.Clinical Study Report SynopsesCelgene posts on public websites the redacted Clinical Study Report synopses for studies supporting indications approved in both the United States and European Union on or after January 1, 2014.Lay Summaries to Study ParticipantsWithin a year of the end of the trial, Celgene will provide lay summaries from all Celgene-sponsored studies in patients that were initiated on or after January 1, 2014 to inform and educate patients about their clinical trial participation.""",UNCLEAR,"UNCLEAR / THEY SAY THEY'RE GOING TO POST ""ON PUBLIC WEBSITES""",NO,NO,NO,NO,"2014 INCONSISTENT: for synopses, it's CSR synopses (for studies in marketing approval pack only) for products approved in US and EU after jan 1 2014; for lay summaries it's trials initiated after jan 1 2014 / unclear",yes,yes / with caveats as per IPD access,yes / LABORIOUS PROCESS LIKE IPD,,no,no,no,yes,yes / onerous and subject to approval,no,no,no,trials for indications approved after 2014 / 2012,as ipd,yes,"""studies supporting indications approved in both the United States and European Union on or after January 1, 2014"" / 2012",no,no,"unclear / probably not: ""studies supporting indications approved in both the United States and European Union on or after January 1, 2014""",yes,yes,see policy,,40,10,200,1,0.3,5,23.2,5.8,116,14.5,3.6,72.5,393.5,25,34,19,26,28
PhRMA IFPMA EFPIA JPMA 2005 Joint Position on the Disclosure of Clinical TrialInformation via Clinical Trial Registries and Databases,,,yes,no,no,no,yes,yes,initiated after 2005 / 2006,yes,no,"no / Not a firm commitment, and caveats. ""The results generally should be posted within one year... unless...""",no,no,no,unclear,yes,no,yes,no,no,no,unclear,initiated after 2005 / 2006,no,,,,,,,,,,,,,,no,,,,,,,,,56,14,280,12.5,3.1,62.5,0,0,0,0,0,0,342.5,14,26,33,35,29
"PhRMA IFPMA EFPIA JPMA 2009 update to 2005 Joint Position on the Disclosure of Clinical TrialInformation via Clinical Trial Registries and Databases""",,,yes,no,no,no,yes,yes,initiated after 2009 / 2010,yes,no,"no / Note caveats. ""The results should be posted no later than one year after the medicinalproduct is first approved and commercially available in any country.For trials completed after this initial approval, results should be posted no laterthan one year after trial completion. ***These schedules would be subject toadjustment to comply with national laws or regulations or to avoidcompromising publication in a peer-reviewed medical journal***.""",no,no,no,unclear,yes,no,yes,no,no,no,unclear,initiated after 2009 / 2010,no,,,,,,,,,,,,,,no,,,,,,,,,49.6,12.4,248,10.5,2.6,52.5,0,0,0,0,0,0,300.5,18,28,35,37,30
Orion Pharma,$1bn,"Precedex, Simdax, Stalevo",yes,no,no,no,yes,NO,missing,yes,no,no,no,no,no,no,NO,no,no,no,no,no,no,missing,no,,,,,,,,,,,,,,yes,missing,no,no,unclear,NO,unclear,Very little information. Essentially says compliant with EFPIA-PhRMA principles,,40,10,200,7.5,1.9,37.5,0,0,0,12.5,3.1,62.5,300,30,32,36,30,31
Servier,$4.25bn,"Aceon, Diamicron, Vastarel",yes,no,no,no,yes,YES,2004 / 2004,no,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,no,,,,,,,,,59.2,14.8,296,0,0,0,0,0,0,0,0,0,296,9,35,38,39,32
"PhRMA ""Principles on conduct of clinical trials, communication of clinical trial results."" (Updated Dec 2014)",,,YES,NO,NO,NO,YES,NO,,YES,"UNCLEAR / Principle 4 states that submission and posting of clinical trial results should be “timely.” What does “timely” mean? ""Generally for approved products, companies submit applicable clinical trial results to a government database by the latter of 12 months after the trial ends or within 30 days after approval of the drug.""",UNCLEAR,NO,NO,NO,YES,NO,,,,,,,,NO,,,,,,,,,,,,,,NO,,,,,,,,,40,10,200,15,3.8,75,0,0,0,0,0,0,275,33,25,32,34,33
Menarini,$3.7bn,"Lobivon/Nebilet/Nebilox, Enantyum, Adenuric",YES,no,no,no,YES,UNCLEAR,,YES,YES,NO,NO,NO,NO,UNCLEAR,UNCLEAR,,,,,,,,NO,,,,,,,,,,,,,,NO,,,,,,,,,40,10,200,12.5,3.1,62.5,0,0,0,0,0,0,262.5,29,27,34,36,34
Grunenthal,$1.5bn,"Versatis, Tramal, Nucynta","no / Only ""Meet all relevant national legal requirements... To register clinical trials on freely accessible internet registries, e.g., ClinicalTrials.gov""",,,,,,,"no / Only: ""Meet all relevant national legal requirements... To disclose clinical trial information (including results) on freely accessible internet registries, e.g., ClinicalTrials.gov.""",,,,,,,,,,,,,,,yes,yes,yes / LABORIOUS PROCESS LIKE IPD,,no,no,no,yes,yes,no,no,no,first protocol approval after 2014 / 2015,"ANOTHER EXCLUSION: HAS TO BE PART OF APPROVAL PACKAGE... Requests for clinical data sharing will be accepted for interventional clinical trials which meet all of the following criteria:•        Were conducted in patients.•        Were sponsored by Grünenthal.•        Had first protocol approval after 15 July 2014.•        Were submitted as part of a successful application to the United States Food and Drug Administration, the European Medicines Agency, or a national competent authority of a European Union Member States, for a marketing approval or variation or extension.",yes,first protocol approval after 2014 / 2015,no,no,yes,yes,yes,"Access to patient- or trial-level data will not be granted if any of the following apply:• There is a reasonable likelihood that individual patients could be re-identified.• Access would violate the patients’ informed consent.• Access to patient-level data might jeopardize incentives for future investment in biomedical research.• There are contractual or legal or consent provisions that prohibit the transfer of clinical data to third parties. If co-development agreements or other legal restrictions prohibit the sharing of requested clinical data, summary information will be offered instead (where possible).• Provision of the requested access would cause unacceptable costs.",,0,0,0,0,0,0,20.8,5.2,104,26,6.5,130,234,39,41,22,15,35
ViiV Healthcare,N/A,Vaccines,"UNCLEAR / No clear commitment. Only ""The ViiV Healthcare Clinical Study Register provides an easily accessible repository of data from ViiV Healthcare-Sponsored Clinical Studies, supplementing communication in journals, at scientific meetings, in letters to healthcare professionals, and in approved prescribing information.The register includes:•        protocol summaries for ongoing studies (a brief description of what is being researched and what the study is designed to discover)""",,,,,NO,,"UNCLEAR / Only says: ""The ViiV Healthcare Clinical Study Register provides an easily accessible repository of data from ViiV Healthcare-Sponsored Clinical Studies, supplementing communication in journals, at scientific meetings, in letters to healthcare professionals, and in approved prescribing information. The register includes:•        protocol summaries for ongoing studies (a brief description of what is being researched and what the study is designed to discover)•        results from completed clinical studies on compounds that are both investigational and approved medicines.""",no,no / no timeline given,no,"yes / Unclear if they do share results of all trials, however if they do then ""results from completed clinical studies on compounds that are both investigational and approved medicines""","yes / Unclear if they do share results of all trials, however if they do then ""results from completed clinical studies on compounds that are both investigational and approved medicines""",UNCLEAR,"UNCLEAR / Only says: ""The ViiV Healthcare Clinical Study Register provides an easily accessible repository of data from ViiV Healthcare-Sponsored Clinical Studies, supplementing communication in journals, at scientific meetings, in letters to healthcare professionals, and in approved prescribing information. The register includes:•        protocol summaries for ongoing studies (a brief description of what is being researched and what the study is designed to discover)•        results from completed clinical studies on compounds that are both investigational and approved medicines.""",NO,"UNCLEAR / Only says: ""The ViiV Healthcare Clinical Study Register provides an easily accessible repository of data from ViiV Healthcare-Sponsored Clinical Studies, supplementing communication in journals, at scientific meetings, in letters to healthcare professionals, and in approved prescribing information. The register includes:•        protocol summaries for ongoing studies (a brief description of what is being researched and what the study is designed to discover)•        results from completed clinical studies on compounds that are both investigational and approved medicines.""",no,"yes / Unclear if they do share results of all trials, however if they do then ""results from completed clinical studies on compounds that are both investigational and approved medicines""","yes / Unclear if they do share results of all trials, however if they do then ""results from completed clinical studies on compounds that are both investigational and approved medicines""",UNCLEAR,missing,yes,yes,yes / LABORIOUS PROCESS LIKE IPD,,NO,NO,no,yes,yes,NO,NO,no,missing,"""After the medicine studied has been approved by regulators (first approval) or terminated from development and the study has been accepted for publication.""",yes,missing,NO,NO,yes,yes,yes,"""After the medicine studied has been approved by regulators (first approval) or terminated from development and the study has been accepted for publication.When patients agreed to take part in ViiV Healthcare clinical studies they gave permission (through informed consent) to use their data to study the medicine or disease ViiV Healthcare (or its parent companies) were researching. Further research must therefore study the medicine or disease that was researched in the original studies. For studies ViiV Healthcare conduct from 2014, patients will be asked to give permission for broader research so other research may be possible with data from these studies.""",,0,0,0,0,0,0,20,5,100,25,6.3,125,225,45,45,25,17,36
"EFPIA/PhRMA ""Principles for responsible clinical trial data sharing"", 2013",,,NO,,,,,,,NO,,,,,,,,,,,,,,,"Yes / The document states that full CSRs may be applied for under the same terms as IPD sharing ""as necessary for conducting legitimate research"". They make no commitment about whcih trials are included, from what time period, for what territories, and with what exemptions on the basis of phase, or approval status for products, or approval status for indications.","Yes / Caution. The document states that full CSRs may be applied for under the same terms as IPD sharing ""as necessary for conducting legitimate research"". They make no commitment about whcih trials are included, from what time period, for what territories, and with what exemptions on the basis of phase, or approval status for products, or approval status for indications.",yes / LABORIOUS PROCESS LIKE IPD,,no,no,no,yes,yes / LABORIOUS PROCESS LIKE IPD,no,no,no,2014 NOS,,"Yes / IPD will be shared ""as necessary for conducting legitimate research"". Caution. They make no commitment about whcih trials are included, from what time period, for what territories, and with what exemptions on the basis of phase, or approval status for products, or approval status for indications.",2014 nos,no,no,no,,no,see site,,0,0,0,0,0,0,21.6,5.4,108,13.5,3.4,67.5,175.5,46,46,21,27,37
Purdue Pharma L.P.,$3bn,"Oxyxcontin, MS contin",no,,,,,,,no,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,yes,missing,no,no,no,yes,no,"This process will be limited to Purdue Pharma L.P.’s (Purdue) clinical trials involving medicines and indications approved, or those officially discontinued by Purdue, in the United States.The provision of such data will only apply to phase 2 and 3 patient-level clinical trial data, study-level clinical trial data, and protocols in accordance with stipulations in the informed consent (ICF) signed at the time of giving consent. All patient level data will be made anonymous. If the data cannot be made anonymous, they shall not be provided.Scientific Review Board:The Purdue Scientific Review Board (SRB) will consist of members of Purdue’s Research and Development, Medical Services, Law and Compliance departments and two clinical researchers who are not employees of Purdue. Requests for data will be evaluated and the requester will be notified of the SRB’s decision.Request Process:Any requests for clinical data should be in conformance with PhRMA’s Principles for Responsible Clinical Trial Data Sharing. The request will be forwarded to Purdue’s Medical Services Department who will call a meeting of the SRB within 30 days to review the request.Requests will only be considered if the research proposal contains the following (at a minimum):•	Reasons and rationale supporting the legitimacy of the research;•	Qualifications of the requestor;•	A description of the data being requested, including the hypothesis to be tested;•	The rationale for the proposed research;•	The analysis plan;•	A publication plan;•	Qualifications and experience of the proposed research team;•	A description of any potential conflicts of interest; including potential competitive use of the data; and•	The source of any research funding.In addition, the requestor must agree to the following:•	Any research conducted using the data obtained from this request will be submitted for publication according to an SRB approved publication plan;•	The data obtained shall not be transferred or shared with any party not identified in this request;•	There shall be no use of the data for purposes not contained in the request; and•	The requestor and anyone involved in the research must agree that any patient-level data that is shared will be anonymized to protect personally identifiable information and that requestor or anyone involved in the research will not attempt to defeat this de-identification.",,0,0,0,0,0,0,0,0,0,12.5,3.1,62.5,62.5,41,42,44,31,38
Medtronic,$28.8bn,Medical Devices,no,,,,,,,YES,NO,NO,NO,UNCLEAR,UNCLEAR,UNCLEAR,YES,NO,YES,NO,UNCLEAR,,,,no,,,,,,,,,,,,,,no,,,,,,,,,0,0,0,7.5,1.9,37.5,0,0,0,0,0,0,37.5,40,33,37,38,39
Abbott,$21bn,"Femelle, Geptor, Quetidin","UNCLEAR / This is a difficult edge case, but they appear to only be promising to adhere to the law, which may not cover all trials. They set up the subset of trials covered by their policy with the phrase ""Our registrations and results disclosures will adhere to all applicable national laws and regulations in countries where we operate, around the world."" They then state: ""Abbott will register all applicable/covered clinical trials, regardless of outcome, in a publicly accessible clinical trials registry, such as www.ClinicalTrials.gov. For branded generic pharmaceuticals, this means that we will register interventional clinical studies in patients. For medical devices and diagnostics, this means we will register interventional clinical studies of health outcomes and pediatric post-marketing surveillance studies, as designated by national laws and regulations."" They only commit to register ""all applicable"" trials, this phrase is not clearly defined, and can only be read as a reference to the preceeding paragraph that refers to ""all applicable national laws and regulations"". ",,,,,,,"UNCLEAR / As per registration, this appears to be restricted to compliance with legislation only. ""Our registrations and results disclosures will adhere to all applicable national laws and regulations in countries where we operate, around the world."" Then: ""Abbott will disclose the results of all applicable/covered clinical trials, regardless of outcome, in a publicly accessible clinical trials results database, such as www.ClinicalTrials.gov. For branded generic pharmaceuticals, this means that we will report results for interventional clinical studies in patients. We also will report the results of any exploratory pharmaceutical clinical studies if the findings have significant medical importance (e.g., an important safety finding). For medical devices and diagnostics, this means we will report results for interventional clinical studies of health outcomes and pediatric post-marketing surveillance studies, as designated by national laws and regulations."" We take this to mean they are committing to comply with legislation. This is somewhat complicated by the fact that a separate web document states ""The database contained the results from all ""hypothesis-testing"" clinical studies (mainly Phase III and IV studies) completed since October 1, 2002, for drug products approved in the United States"" referring to the PhRMA Clinical Study Results Database: however this only ran from 2004 to 2011, and there is no subsequent clear commitment, and no prospective commitment, other than that with the caveat as above. Therefore this remains a difficult edge case.",,,,,,,,,,,,,,,no,,,,,,,,,,,,,,no,,,,,,,"""In an evolving regulatory environment around sharing clinical trial data for research purposes, Abbott will continue to engage with stakeholders regarding approaches for sharing clinical trial data with scientific and medical researchers to advance medical science, while protecting information that is confidential for patients, our partners and our company.""",,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,39,40,40
Alkermes plc,$746mn,"Aristada, Vivitrol",no,,,,,,,no,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,no,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,35,37,40,41,41
Dainippon Sumitomo Pharma,$3.8bn,"Latuda, Brovana, Meropen",no,,,,,,,no,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,no,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,41,42,42
Esteve ,$1bn,"Aquoral Forte, Dolomidina, Laxadina",no,,,,,,,no,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,no,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,37,39,42,43,43
Gilead ,$30.5bn,"Harvoni, Sovaldi, Truvada",no,,,,,,,no,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,no,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,43,44,44
"Sigma-Tau Pharmaceuticals, Inc. ",N/A,N/A,No / no policy in folder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,45,45,45
Valeant,$9.7bn,"Xifaxan 550, Jublia, Wellbutrin XL",no / no policy in folder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,46,46,46
